play_id,game_id,Number,Kicker,Yards,Outcome,hash,make_x,make_y,posteam,defteam,game_date,qtr,quarter_seconds_remaining,yardline_100,desc
1153,2022_01_BUF_LA,2,T. Bass,41,Good,-9.25,8,24.5,BUF,LA,2022-09-08,2,531,23,"(8:51) 2-T.Bass 41 yard field goal is GOOD, Center-69-R.Ferguson, Holder-8-S.Martin."
1888,2022_01_BUF_LA,8,M. Gay,57,Good,-9.25,2.8,9.1,LA,BUF,2022-09-08,2,4,39,"(:04) 8-M.Gay 57 yard field goal is GOOD, Center-42-M.Orzech, Holder-11-R.Dixon."
790,2022_01_BAL_NYJ,9,J. Tucker,24,Good,9.25,-6,31,BAL,NYJ,2022-09-11,1,199,6,"(3:19) 9-J.Tucker 24 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout."
1216,2022_01_BAL_NYJ,6,G. Zuerlein,45,No Good,9.25,-11.3,28,NYJ,BAL,2022-09-11,2,655,27,"(10:55) 6-G.Zuerlein 45 yard field goal is No Good, Wide Left, Center-42-T.Hennessy, Holder-7-B.Mann."
1919,2022_01_BAL_NYJ,6,G. Zuerlein,45,Good,9.25,-6.9,27.3,NYJ,BAL,2022-09-11,2,28,27,"(:28) 6-G.Zuerlein 45 yard field goal is GOOD, Center-42-T.Hennessy, Holder-7-B.Mann."
2128,2022_01_CLE_CAR,3,C. York,26,Good,9.25,-3.5,27.3,CLE,CAR,2022-09-11,2,24,8,"(:24) 3-C.York 26 yard field goal is GOOD, Center-47-C.Hughlett, Holder-13-C.Bojorquez."
2588,2022_01_CLE_CAR,3,C. York,34,Good,-9.25,3.2,29.4,CLE,CAR,2022-09-11,3,466,16,"(7:46) 3-C.York 34 yard field goal is GOOD, Center-47-C.Hughlett, Holder-13-C.Bojorquez."
3420,2022_01_CLE_CAR,3,C. York,36,Good,0,-2.3,28.7,CLE,CAR,2022-09-11,4,377,18,"(6:17) 3-C.York 36 yard field goal is GOOD, Center-47-C.Hughlett, Holder-13-C.Bojorquez."
4006,2022_01_CLE_CAR,4,E. Pineiro,34,Good,9.25,-5.6,26.6,CAR,CLE,2022-09-11,4,77,16,"(1:17) 4-E.Pineiro 34 yard field goal is GOOD, Center-44-J.Jansen, Holder-10-J.Hekker."
4196,2022_01_CLE_CAR,3,C. York,58,Good,9.25,2,8,CLE,CAR,2022-09-11,4,13,40,"(:13) 3-C.York 58 yard field goal is GOOD, Center-47-C.Hughlett, Holder-13-C.Bojorquez."
1326,2022_01_GB_MIN,1,G. Joseph,28,Good,9.25,3.8,37.2,MIN,GB,2022-09-11,2,237,10,"(3:57) 1-G.Joseph 28 yard field goal is GOOD, Center-42-A.DePaola, Holder-14-R.Wright."
