play_id,game_id,Number,Kicker,Yards,Outcome,hash,make_x,make_y,posteam,defteam,game_date,qtr,quarter_seconds_remaining,yardline_100,desc,stadium,time_of_day,Team,Latitude,Longitude,Indoor,Turf,elevation,temperature,precipitation,windspeed,windgusts,Age,XP%,cap_hit
790,2022_01_BAL_NYJ,9,J. Tucker,24,Good,9.25,-6.0,31.0,BAL,NYJ,2022-09-11,1,199,6,"(3:19) 9-J.Tucker 24 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",MetLife Stadium,2022-09-11 13:37:20-04:00,New York Giants,40.812194,-74.076983,No,Turf,2.0,72.4,0.0,5.2,10.1,33,96.9,4758333.0
3751,2022_02_MIA_BAL,9,J. Tucker,51,Good,9.25,7.2,29.0,BAL,MIA,2022-09-18,4,143,33,"(2:23) 9-J.Tucker 51 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout. Penalty on MIA-20-J.Bethel, Defensive Offside, declined.",M&T Bank Stadium,2022-09-18 16:06:04.027000-04:00,Baltimore Ravens,39.277969,-76.622767,No,Grass,5.0,82.8,0.0,10.1,18.0,33,96.9,4758333.0
2691,2022_03_BAL_NE,9,J. Tucker,56,Good,-4.5,-4.1,21.9,BAL,NE,2022-09-25,3,158,38,"(2:38) 9-J.Tucker 56 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout. BAL 9-Tucker 50th career 50+ yard FG.",Gillette Stadium,2022-09-25 15:18:16-04:00,New England Patriots,42.090925,-71.26435,No,Turf,89.0,65.5,0.0,11.8,25.6,33,96.9,4758333.0
1063,2022_04_BUF_BAL,9,J. Tucker,42,Good,-9.25,2.0,27.6,BAL,BUF,2022-10-02,2,777,24,"(12:57) 9-J.Tucker 42 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",M&T Bank Stadium,2022-10-02 13:43:52-04:00,Baltimore Ravens,39.277969,-76.622767,No,Grass,5.0,56.8,0.0,22.8,38.5,33,96.9,4758333.0
1486,2022_04_BUF_BAL,9,J. Tucker,51,Good,9.25,-3.8,34.9,BAL,BUF,2022-10-02,2,224,33,"(3:44) 9-J.Tucker 51 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",M&T Bank Stadium,2022-10-02 14:01:55-04:00,Baltimore Ravens,39.277969,-76.622767,No,Grass,5.0,56.7,0.0,23.5,40.3,33,96.9,4758333.0
392,2022_05_CIN_BAL,9,J. Tucker,37,Good,9.25,-5.4,27.8,BAL,CIN,2022-10-09,1,487,19,"(8:07) 9-J.Tucker 37 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",M&T Bank Stadium,2022-10-09 20:35:26-04:00,Baltimore Ravens,39.277969,-76.622767,No,Grass,5.0,48.1,0.0,8.7,11.9,33,96.9,4758333.0
2349,2022_05_CIN_BAL,9,J. Tucker,58,Good,9.25,-3.5,18.8,BAL,CIN,2022-10-09,3,654,40,"(10:54) 9-J.Tucker 58 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",M&T Bank Stadium,2022-10-09 22:14:41-04:00,Baltimore Ravens,39.277969,-76.622767,No,Grass,5.0,47.7,0.0,7.6,12.6,33,96.9,4758333.0
3255,2022_05_CIN_BAL,9,J. Tucker,25,Good,-9.25,-4.3,31.6,BAL,CIN,2022-10-09,4,586,7,"(9:46) 9-J.Tucker 25 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",M&T Bank Stadium,2022-10-09 22:48:06.363000-04:00,Baltimore Ravens,39.277969,-76.622767,No,Grass,5.0,47.7,0.0,7.6,12.6,33,96.9,4758333.0
3868,2022_05_CIN_BAL,9,J. Tucker,43,Good,-1.0,-0.8,34.1,BAL,CIN,2022-10-09,4,3,25,"(:03) 9-J.Tucker 43 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",M&T Bank Stadium,2022-10-09 23:17:35-04:00,Baltimore Ravens,39.277969,-76.622767,No,Grass,5.0,47.5,0.0,8.1,14.0,33,96.9,4758333.0
769,2022_06_BAL_NYG,9,J. Tucker,56,No Good,9.25,-9.25,13.8,BAL,NYG,2022-10-16,1,31,38,"(:31) 9-J.Tucker 56 yard field goal is No Good, Hit Left Upright, Center-46-N.Moore, Holder-11-J.Stout.",MetLife Stadium,2022-10-16 13:33:10-04:00,New York Giants,40.812194,-74.076983,No,Turf,2.0,62.6,0.0,3.6,13.7,33,96.9,4758333.0
1729,2022_06_BAL_NYG,9,J. Tucker,34,Good,-9.25,1.4,29.2,BAL,NYG,2022-10-16,2,108,16,"(1:48) 9-J.Tucker 34 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",MetLife Stadium,2022-10-16 14:21:04-04:00,New York Giants,40.812194,-74.076983,No,Turf,2.0,64.1,0.0,6.2,15.8,33,96.9,4758333.0
2423,2022_06_BAL_NYG,9,J. Tucker,23,Good,9.25,-1.2,26.6,BAL,NYG,2022-10-16,3,584,5,"(9:44) 9-J.Tucker 23 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",MetLife Stadium,2022-10-16 15:00:44-04:00,New York Giants,40.812194,-74.076983,No,Turf,2.0,64.1,0.0,6.2,15.8,33,96.9,4758333.0
518,2022_07_CLE_BAL,9,J. Tucker,32,Good,9.25,-3.0,27.0,BAL,CLE,2022-10-23,1,211,14,"(3:31) 9-J.Tucker 32 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",M&T Bank Stadium,2022-10-23 13:19:51-04:00,Baltimore Ravens,39.277969,-76.622767,No,Grass,5.0,61.8,0.0,9.4,21.6,33,96.9,4758333.0
986,2022_07_CLE_BAL,9,J. Tucker,34,Good,9.25,-1.9,30.6,BAL,CLE,2022-10-23,2,609,16,"(10:09) 9-J.Tucker 34 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",M&T Bank Stadium,2022-10-23 13:44:30-04:00,Baltimore Ravens,39.277969,-76.622767,No,Grass,5.0,61.8,0.0,9.4,21.6,33,96.9,4758333.0
2755,2022_07_CLE_BAL,9,J. Tucker,55,Good,2.0,2.5,6.8,BAL,CLE,2022-10-23,4,689,37,"(11:29) 9-J.Tucker 55 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",M&T Bank Stadium,2022-10-23 15:13:39-04:00,Baltimore Ravens,39.277969,-76.622767,No,Grass,5.0,61.1,0.0,12.3,22.0,33,96.9,4758333.0
268,2022_08_BAL_TB,9,J. Tucker,22,Good,-9.25,-0.7,24.1,BAL,TB,2022-10-27,1,666,4,"(11:06) 9-J.Tucker 22 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",Raymond James Stadium,2022-10-27 20:22:40-04:00,Tampa Bay Buccaneers,27.975967,-82.50335,No,Grass,11.0,74.6,0.0,6.4,7.9,33,96.9,4758333.0
2102,2022_08_BAL_TB,9,J. Tucker,61,Blocked,9.25,,,BAL,TB,2022-10-27,2,4,43,"(:04) 9-J.Tucker 61 yard field goal is BLOCKED (79-P.O'Connor), Center-46-N.Moore, Holder-11-J.Stout.",Raymond James Stadium,2022-10-27 21:39:08-04:00,Tampa Bay Buccaneers,27.975967,-82.50335,No,Grass,11.0,74.0,0.0,15.0,23.4,33,96.9,4758333.0
3848,2022_08_BAL_TB,9,J. Tucker,30,Good,9.25,4.5,34.6,BAL,TB,2022-10-27,4,136,12,"(2:16) 9-J.Tucker 30 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",Raymond James Stadium,2022-10-27 23:05:50-04:00,Tampa Bay Buccaneers,27.975967,-82.50335,No,Grass,11.0,72.1,0.0,6.5,13.0,33,96.9,4758333.0
2329,2022_09_BAL_NO,9,J. Tucker,32,Good,0.0,4.3,34.6,BAL,NO,2022-11-07,3,509,14,"(8:29) 9-J.Tucker 32 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",Caesars Superdome,2022-11-07 22:59:02-04:00,New Orleans Saints,29.950931,-90.081364,Yes,Turf,23.0,70.0,0.0,0.0,2.5,33,96.9,4758333.0
3093,2022_09_BAL_NO,9,J. Tucker,41,Good,-9.25,-6.7,33.8,BAL,NO,2022-11-07,4,516,23,"(8:36) 9-J.Tucker 41 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",Caesars Superdome,2022-11-07 23:36:27-04:00,New Orleans Saints,29.950931,-90.081364,Yes,Turf,23.0,70.0,0.0,0.0,2.5,33,96.9,4758333.0
1764,2022_11_CAR_BAL,9,J. Tucker,32,Good,9.25,-1.9,33.3,BAL,CAR,2022-11-20,2,5,14,"(:05) 9-J.Tucker 32 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",M&T Bank Stadium,2022-11-20 15:19:20-04:00,Baltimore Ravens,39.277969,-76.622767,No,Grass,5.0,35.1,0.0,22.6,41.0,33,96.9,4758333.0
3232,2022_11_CAR_BAL,9,J. Tucker,37,Good,9.25,2.1,26.6,BAL,CAR,2022-11-20,4,511,19,"(8:31) 9-J.Tucker 37 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",M&T Bank Stadium,2022-11-20 16:38:05-04:00,Baltimore Ravens,39.277969,-76.622767,No,Grass,5.0,33.9,0.0,17.7,39.2,33,96.9,4758333.0
414,2022_12_BAL_JAX,9,J. Tucker,27,Good,9.25,0.6,27.8,BAL,JAX,2022-11-27,1,568,10,"(9:28) 9-J.Tucker 27 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",EverBank Stadium,2022-11-27 14:41:48-04:00,Jacksonville Jaguars,30.323925,-81.637356,No,Grass,0.0,79.3,0.0,23.8,43.6,33,96.9,4758333.0
746,2022_12_BAL_JAX,9,J. Tucker,29,Good,9.25,2.9,28.3,BAL,JAX,2022-11-27,1,128,12,"(2:08) 9-J.Tucker 29 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",EverBank Stadium,2022-11-27 14:57:08-04:00,Jacksonville Jaguars,30.323925,-81.637356,No,Grass,0.0,79.3,0.0,23.8,43.6,33,96.9,4758333.0
1515,2022_12_BAL_JAX,9,J. Tucker,55,Good,-9.25,2.1,20.8,BAL,JAX,2022-11-27,2,296,37,"(4:56) 9-J.Tucker 55 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",EverBank Stadium,2022-11-27 15:33:43-04:00,Jacksonville Jaguars,30.323925,-81.637356,No,Grass,0.0,79.9,0.0,25.5,40.7,33,96.9,4758333.0
2234,2022_12_BAL_JAX,9,J. Tucker,24,Good,1.0,4.4,26.1,BAL,JAX,2022-11-27,3,476,6,"(7:56) 9-J.Tucker 24 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",EverBank Stadium,2022-11-27 16:18:05-04:00,Jacksonville Jaguars,30.323925,-81.637356,No,Grass,0.0,78.4,0.0,23.8,40.7,33,96.9,4758333.0
4153,2022_12_BAL_JAX,9,J. Tucker,67,No Good,9.25,4.7,-10.0,BAL,JAX,2022-11-27,4,2,49,"(:02) 9-J.Tucker 67 yard field goal is No Good, Short, Center-46-N.Moore, Holder-11-J.Stout.",EverBank Stadium,2022-11-27 17:42:07-04:00,Jacksonville Jaguars,30.323925,-81.637356,No,Grass,0.0,75.9,0.0,20.9,37.4,33,96.9,4758333.0
1188,2022_13_DEN_BAL,9,J. Tucker,26,Good,9.25,0.8,31.0,BAL,DEN,2022-12-04,2,358,8,"(5:58) 9-J.Tucker 26 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",M&T Bank Stadium,2022-12-04 14:51:43-04:00,Baltimore Ravens,39.277969,-76.622767,No,Grass,5.0,46.3,0.0,7.6,19.1,33,96.9,4758333.0
